"person","item_MR05","item_MR01","item_MR08","item_MR07","item_MR02","item_MR03","item_MR04","item_MR10","item_MR09","item_MR06"
1961,1,1,1,1,1,1,1,1,1,1
1963,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0
1966,1,1,1,1,1,1,1,1,1,1
1968,1,1,1,0,1,1,1,1,1,1
1969,0,1,0,0,0,0,0,0,0,0
1970,0,1,NA,0,0,0,0,0,0,0
1971,0,1,0,0,0,0,0,0,0,0
1972,0,1,1,0,1,1,1,0,1,0
1973,0,0,0,0,0,0,0,0,0,0
1975,1,1,1,1,1,1,1,1,1,1
1976,0,0,0,0,0,0,0,0,0,0
1977,0,1,0,1,1,1,1,1,0,1
1978,0,0,0,0,0,0,0,0,0,0
1982,1,1,1,1,1,1,1,1,1,1
1983,0,1,0,0,0,1,0,0,0,0
1984,0,0,0,0,0,0,0,0,0,0
1985,0,1,0,0,0,0,0,0,0,0
1986,0,1,0,0,1,1,1,0,0,0
1993,0,0,0,0,0,0,0,0,0,0
1994,0,0,0,0,0,0,0,0,0,0
1995,0,0,0,0,0,0,0,0,0,0
1999,0,1,0,0,0,0,0,0,0,0
2000,1,0,1,1,1,1,1,1,0,1
2001,0,1,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0
2004,1,1,1,1,1,1,1,0,0,1
2005,0,1,0,0,0,0,0,0,0,0
2008,1,1,1,0,1,0,1,1,0,1
2009,1,1,1,1,1,1,1,1,1,1
2010,0,1,0,0,1,1,1,0,0,0
2011,0,1,0,0,0,1,1,0,0,0
2027,1,1,1,0,1,1,1,0,1,1
2029,0,0,0,0,0,1,0,0,0,0
2030,0,1,0,0,0,0,0,0,0,0
2032,0,1,0,0,1,0,1,1,1,1
2033,0,0,0,0,0,0,0,0,0,0
2034,0,1,0,0,0,0,0,0,0,0
2035,1,1,1,1,1,1,1,0,1,1
2036,1,1,1,1,1,1,1,0,1,1
2039,0,1,0,0,0,0,0,0,0,0
2041,0,0,0,0,0,0,0,0,0,0
2043,1,1,0,1,1,1,1,1,1,1
2044,1,1,1,1,1,1,1,1,1,1
